date,hour,org
2024-12-03,18,44024
2024-12-03,18,455611
2024-12-03,18,451089
2024-12-03,18,451007
2024-12-03,20,445794
2024-12-03,19,447063
2024-12-03,19,451563
2024-12-03,21,32746
2024-12-03,20,453995
2024-12-03,21,453995
2024-12-03,23,447906
2024-12-03,6,441964
2024-12-03,0,441815
2024-12-03,8,451996
2024-12-03,8,452693
2024-12-03,9,543
2024-12-03,9,445084
2024-12-03,9,441815
2024-12-03,10,451835
2024-12-03,10,441815
2024-12-03,10,453455
2024-12-03,11,451835
2024-12-03,11,450283
2024-12-03,11,452913
2024-12-03,11,347139
2024-12-03,11,454446
2024-12-03,11,454863
2024-12-03,12,452482
2024-12-03,12,441815
2024-12-03,12,452913
2024-12-03,12,29736
2024-12-03,13,453898
2024-12-03,13,452482
2024-12-03,13,452043
2024-12-03,14,449407
2024-12-03,13,453332
2024-12-03,13,453012
2024-12-03,14,454272
2024-12-03,15,452443
2024-12-03,15,452913
2024-12-03,15,451835
2024-12-03,15,442548
2024-12-03,16,443236
2024-12-03,16,447840
2024-12-03,16,446514
2024-12-03,17,450283
2024-12-03,18,446514
2024-12-03,19,29736
2024-12-03,18,454272
2024-12-03,18,449419
2024-12-03,18,441815
2024-12-03,18,441770
2024-12-03,18,452693
2024-12-03,19,454446
2024-12-03,19,454742
2024-12-03,19,444852
2024-12-03,19,453012
2024-12-03,21,453178
2024-12-03,20,454826
2024-12-03,20,454446
2024-12-03,20,20431
2024-12-03,20,452159
2024-12-03,21,441770
2024-12-03,21,446514
2024-12-03,21,428051
2024-12-03,23,453995
2024-12-03,23,11194
2024-12-03,22,27648
2024-12-03,10,444256
2024-12-03,10,453736
2024-12-03,10,454705
2024-12-03,10,41989
2024-12-03,11,455725
2024-12-03,11,442892
2024-12-03,11,453736
2024-12-03,11,446046
2024-12-03,12,453340
2024-12-03,12,446548
2024-12-03,12,453665
2024-12-03,13,453340
2024-12-03,13,452299
2024-12-03,13,446548
2024-12-03,13,444256
2024-12-03,13,453543
2024-12-03,13,454160
2024-12-03,15,452547
2024-12-03,15,446046
2024-12-03,15,453158
2024-12-03,16,451695
2024-12-03,16,447238
2024-12-03,16,431228
2024-12-03,16,453665
2024-12-03,16,453543
2024-12-03,17,453526
2024-12-03,18,453543
2024-12-03,17,444096
2024-12-03,19,453832
2024-12-03,18,453832
2024-12-03,18,445906
2024-12-03,18,451882
2024-12-03,18,453665
2024-12-03,19,453543
2024-12-03,19,453526
2024-12-03,19,453665
2024-12-03,19,447552
2024-12-03,21,453543
2024-12-03,20,451559
2024-12-03,20,453526
2024-12-03,20,439372
2024-12-03,20,437262
2024-12-03,22,447251
2024-12-03,21,447238
2024-12-03,21,445460
2024-12-03,22,454705
2024-12-03,22,450089
2024-12-03,22,453665
2024-12-03,8,437286
2024-12-03,8,454723
2024-12-03,9,444852
2024-12-03,9,286
2024-12-03,9,449531
2024-12-03,9,449755
2024-12-03,10,39922
2024-12-03,10,451936
2024-12-03,10,450312
2024-12-03,11,447731
2024-12-03,11,454029
2024-12-03,11,450449
2024-12-03,11,286
2024-12-03,11,444852
2024-12-03,11,447266
2024-12-03,11,448929
2024-12-03,12,451595
2024-12-03,12,454255
2024-12-03,13,444852
2024-12-03,13,39922
2024-12-03,13,451539
2024-12-03,13,445601
2024-12-03,14,436247
2024-12-03,14,450105
2024-12-03,14,427107
2024-12-03,14,453371
2024-12-03,14,436290
2024-12-03,14,446405
2024-12-03,15,442983
2024-12-03,7,438484
2024-12-03,7,443253
2024-12-03,8,436247
2024-12-03,8,453793
2024-12-03,9,436268
2024-12-03,9,436247
2024-12-03,9,452261
2024-12-03,10,453793
2024-12-03,10,451742
2024-12-03,10,455333
2024-12-03,10,388099
2024-12-03,11,443811
2024-12-03,11,453791
2024-12-03,11,453117
2024-12-03,11,438295
2024-12-03,11,1127
2024-12-03,12,447806
2024-12-03,12,453900
2024-12-03,12,436247
2024-12-03,12,451629
2024-12-03,13,455333
2024-12-03,13,31794
2024-12-03,14,452444
2024-12-03,16,443218
2024-12-03,16,444852
2024-12-03,16,450238
2024-12-03,18,442475
2024-12-03,17,450590
2024-12-03,17,455853
2024-12-03,17,453007
2024-12-03,19,443689
2024-12-03,18,452920
2024-12-03,18,344068
2024-12-03,20,444852
2024-12-03,19,448929
2024-12-03,19,1059
2024-12-03,19,442475
2024-12-03,19,443253
2024-12-03,21,455853
2024-12-03,20,448264
2024-12-03,21,449708
2024-12-03,22,427107
2024-12-03,22,450238
2024-12-03,14,448572
2024-12-03,15,448929
2024-12-03,16,453704
2024-12-03,16,438295
2024-12-03,16,446545
2024-12-03,18,448929
2024-12-03,17,438481
2024-12-03,17,451629
2024-12-03,17,451884
2024-12-03,17,448929
2024-12-03,19,448780
2024-12-03,19,433169
2024-12-03,18,455557
2024-12-03,18,452305
2024-12-03,19,436268
2024-12-03,21,436268
2024-12-03,21,454206
2024-12-03,20,455019
2024-12-03,20,454803
2024-12-03,20,435212
2024-12-03,20,454524
2024-12-03,20,448929
2024-12-03,23,449589
2024-12-03,23,451360
2024-12-03,22,452453
2024-12-03,22,1127
2024-12-03,22,453793
2024-12-03,22,449040
2024-12-03,23,454896
2024-12-03,7,91
2024-12-03,6,453040
2024-12-03,0,443767
2024-12-03,0,451746
2024-12-03,8,453271
2024-12-03,8,450112
2024-12-03,8,448670
2024-12-03,9,452630
2024-12-03,9,446661
2024-12-03,9,450322
2024-12-03,10,452976
2024-12-03,11,437262
2024-12-03,11,446661
2024-12-03,11,445208
2024-12-03,12,437262
2024-12-03,12,449914
2024-12-03,12,446661
2024-12-03,13,161795
2024-12-03,13,452630
2024-12-03,13,554
2024-12-03,13,453860
2024-12-03,14,453907
2024-12-03,14,454828
2024-12-03,14,442820
2024-12-03,14,450287
2024-12-03,15,40983
2024-12-03,15,452420
2024-12-03,15,344068
2024-12-03,15,438514
2024-12-03,16,450435
2024-12-03,16,452551
2024-12-03,16,450875
2024-12-03,17,448119
2024-12-03,19,438331
2024-12-03,18,445876
2024-12-03,18,452551
2024-12-03,21,452186
2024-12-03,20,384003
2024-12-03,21,438342
2024-12-03,22,451746
2024-12-03,7,455679
2024-12-03,7,448841
2024-12-03,7,453026
2024-12-03,7,454970
2024-12-03,6,445601
2024-12-03,6,447050
2024-12-03,6,453413
2024-12-03,7,439328
2024-12-03,0,446585
2024-12-03,0,444931
2024-12-03,1,442206
2024-12-03,1,442990
2024-12-03,1,448159
2024-12-03,1,453413
2024-12-03,1,446585
2024-12-03,2,449265
2024-12-03,2,444339
2024-12-03,2,444416
2024-12-03,4,449265
2024-12-03,4,444931
2024-12-03,4,451971
2024-12-03,5,448841
2024-12-03,5,488
2024-12-03,5,453602
2024-12-03,5,453508
2024-12-03,6,1747
2024-12-03,6,446787
2024-12-03,6,444931
2024-12-03,6,449431
2024-12-03,6,454306
2024-12-03,6,444086
2024-12-03,6,454359
2024-12-03,0,454648
2024-12-03,0,450827
2024-12-03,0,449373
2024-12-03,0,455679
2024-12-03,0,443972
2024-12-03,8,447840
2024-12-03,8,444754
2024-12-03,8,447936
2024-12-03,8,454970
2024-12-03,8,453890
2024-12-03,8,451686
2024-12-03,8,442990
2024-12-03,8,448841
2024-12-03,8,446782
2024-12-03,8,453413
2024-12-03,8,488
2024-12-03,8,453924
2024-12-03,8,446097
2024-12-03,8,454073
2024-12-03,8,454747
